currentTime,totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalPartition,usedPartition,freePartition,percentagePartition(%),total_IO_read,total_IO_write
2023-12-13 08:31:16.166927,0.0,16698875904,15267258368,1133076480,8.6,56766464,1294757888,2147479552,2147479552,0,0.0,108240035840,78534201344,24160284672,76.5,1189304320,245888000
2023-12-13 08:32:16.228202,0.0,16698875904,14631112704,1761210368,12.4,67227648,1969020928,2147479552,2147479552,0,0.0,108240035840,78534836224,24159649792,76.5,1788989440,327345152
2023-12-13 08:33:16.288214,0.0,16698875904,14656499712,1736097792,12.2,67403776,1968848896,2147479552,2147479552,0,0.0,108240035840,78534762496,24159723520,76.5,1788989440,329262080
2023-12-13 08:34:16.348282,0.0,16698875904,14241476608,2151104512,14.7,67420160,1968869376,2147479552,2147479552,0,0.0,108240035840,78534782976,24159703040,76.5,1788989440,329344000
2023-12-13 08:35:16.410422,0.0,16698875904,14660050944,1732546560,12.2,67436544,1968902144,2147479552,2147479552,0,0.0,108240035840,78534815744,24159670272,76.5,1788989440,329487360
2023-12-13 08:36:16.471963,0.0,16698875904,14700490752,1692102656,12.0,67485696,1968922624,2147479552,2147479552,0,0.0,108240035840,78534840320,24159645696,76.5,1788993536,329696256
2023-12-13 08:37:16.533519,0.0,16698875904,14642884608,1749712896,12.3,67559424,1968943104,2147479552,2147479552,0,0.0,108240035840,78534860800,24159625216,76.5,1788993536,330228736
2023-12-13 08:38:16.595057,100.0,16698875904,14669934592,1722675200,12.2,67575808,1968955392,2147479552,2147479552,0,0.0,108240035840,78534893568,24159592448,76.5,1788993536,330396672
2023-12-13 08:39:16.656707,0.0,16698875904,14716641280,1675968512,11.9,67592192,1969364992,2147479552,2147479552,0,0.0,108240035840,78534914048,24159571968,76.5,1789382656,330486784
2023-12-13 08:40:16.718377,0.0,16698875904,14731808768,1660801024,11.8,67608576,1969385472,2147479552,2147479552,0,0.0,108240035840,78534934528,24159551488,76.5,1789382656,330576896
2023-12-13 08:41:16.780061,0.0,16698875904,14672601088,1720008704,12.1,67641344,1969418240,2147479552,2147479552,0,0.0,108240035840,78534967296,24159518720,76.5,1789382656,330757120
2023-12-13 08:42:16.841757,0.0,16698875904,14666489856,1726005248,12.2,68153344,1969647616,2147479552,2147479552,0,0.0,108240035840,78534987776,24159498240,76.5,1789853696,331043840
2023-12-13 08:43:16.903427,100.0,16698875904,14660259840,1732214784,12.2,68177920,1969700864,2147479552,2147479552,0,0.0,108240035840,78535041024,24159444992,76.5,1789853696,331441152
2023-12-13 08:44:16.964195,0.0,16698875904,14205771776,2186711040,14.9,68202496,1969721344,2147479552,2147479552,0,0.0,108240035840,78535061504,24159424512,76.5,1789853696,331609088
2023-12-13 08:45:17.024193,0.0,16698875904,14210220032,2182275072,14.9,68235264,1969758208,2147479552,2147479552,0,0.0,108240035840,78535094272,24159391744,76.5,1789853696,331781120
2023-12-13 08:46:17.080306,0.0,16698875904,14397915136,1994588160,13.8,68259840,1969778688,2147479552,2147479552,0,0.0,108240035840,78535114752,24159371264,76.5,1789853696,331871232
2023-12-13 08:47:17.142027,0.0,16698875904,14373609472,2018893824,13.9,68292608,1969799168,2147479552,2147479552,0,0.0,108240035840,78535135232,24159350784,76.5,1789853696,332051456
2023-12-13 08:48:17.144210,0.0,16698875904,14722183168,1670311936,11.8,68321280,1969831936,2147479552,2147479552,0,0.0,108240035840,78535172096,24159313920,76.5,1789853696,332248064
2023-12-13 08:49:17.204230,0.0,16698875904,14656860160,1735643136,12.2,68337664,1969852416,2147479552,2147479552,0,0.0,108240035840,78535192576,24159293440,76.5,1789853696,332321792
2023-12-13 08:50:17.216288,0.0,16698875904,14705840128,1686663168,11.9,68354048,1969872896,2147479552,2147479552,0,0.0,108240035840,78535213056,24159272960,76.5,1789853696,332411904
2023-12-13 08:51:17.277969,0.0,16698875904,14400659456,1991831552,13.8,68378624,1969901568,2147479552,2147479552,0,0.0,108240035840,78535241728,24159244288,76.5,1789853696,332571648
2023-12-13 08:52:17.339689,0.0,16698875904,14459736064,1932734464,13.4,68411392,1969926144,2147479552,2147479552,0,0.0,108240035840,78535266304,24159219712,76.5,1789853696,332764160
2023-12-13 08:53:17.400204,0.0,16698875904,14218924032,2173558784,14.9,68435968,1969946624,2147479552,2147479552,0,0.0,108240035840,78535286784,24159199232,76.5,1789853696,332903424
2023-12-13 08:54:17.461804,0.0,16698875904,14394769408,1997733888,13.8,68460544,1969987584,2147479552,2147479552,0,0.0,108240035840,78535327744,24159158272,76.5,1789853696,333075456
2023-12-13 08:55:17.464318,0.0,16698875904,14708133888,1684344832,11.9,68493312,1970024448,2147479552,2147479552,0,0.0,108240035840,78535376896,24159109120,76.5,1789853696,333198336
2023-12-13 08:56:17.525950,0.0,16698875904,14717431808,1675071488,11.9,68517888,1970044928,2147479552,2147479552,0,0.0,108240035840,78535397376,24159088640,76.5,1789853696,333435904
2023-12-13 08:57:17.587627,0.0,16698875904,14459318272,1933189120,13.4,68550656,1970065408,2147479552,2147479552,0,0.0,108240035840,78535417856,24159068160,76.5,1789853696,333612032
2023-12-13 08:58:17.649285,0.0,16698875904,14536024064,1856483328,13.0,68575232,1970098176,2147479552,2147479552,0,0.0,108240035840,78535450624,24159035392,76.5,1789853696,333800448
2023-12-13 08:59:17.710945,0.0,16698875904,14474305536,1918201856,13.3,68591616,1970118656,2147479552,2147479552,0,0.0,108240035840,78535471104,24159014912,76.5,1789853696,333874176
2023-12-13 09:00:17.772652,0.0,16698875904,14402514944,1989976064,13.8,68616192,1970135040,2147479552,2147479552,0,0.0,108240035840,78535487488,24158998528,76.5,1789853696,333976576
2023-12-13 09:01:17.832209,0.0,16698875904,14187687936,2204819456,15.0,68640768,1970167808,2147479552,2147479552,0,0.0,108240035840,78535520256,24158965760,76.5,1789853696,334144512
2023-12-13 09:02:17.848319,0.0,16698875904,14470139904,1922347008,13.3,68681728,1970184192,2147479552,2147479552,0,0.0,108240035840,78535540736,24158945280,76.5,1789853696,334328832
2023-12-13 09:03:17.908182,0.0,16698875904,14181068800,2211442688,15.1,68698112,1970204672,2147479552,2147479552,0,0.0,108240035840,78535561216,24158924800,76.5,1789853696,334447616
2023-12-13 09:04:17.954878,100.0,16698875904,14372106240,2020405248,13.9,68722688,1970237440,2147479552,2147479552,0,0.0,108240035840,78535593984,24158892032,76.5,1789853696,334611456
2023-12-13 09:05:17.982817,50.0,16698875904,14455607296,1936887808,13.4,68739072,1970257920,2147479552,2147479552,0,0.0,108240035840,78535614464,24158871552,76.5,1789853696,334685184
2023-12-13 09:06:18.044583,0.0,16698875904,14470492160,1922002944,13.3,68755456,1970286592,2147479552,2147479552,0,0.0,108240035840,78535643136,24158842880,76.5,1789853696,334812160
2023-12-13 09:07:18.104185,0.0,16698875904,14216843264,2175655936,14.9,68804608,1970307072,2147479552,2147479552,0,0.0,108240035840,78535659520,24158826496,76.5,1789853696,335033344
2023-12-13 09:08:18.165780,0.0,16698875904,14407270400,1985232896,13.7,68829184,1970368512,2147479552,2147479552,0,0.0,108240035840,78535720960,24158765056,76.5,1789853696,335344640
2023-12-13 09:09:18.227467,0.0,16698875904,14463500288,1928998912,13.4,68845568,1970388992,2147479552,2147479552,0,0.0,108240035840,78535741440,24158744576,76.5,1789853696,335434752
2023-12-13 09:10:18.289119,0.0,16698875904,14462574592,1929924608,13.4,68878336,1970421760,2147479552,2147479552,0,0.0,108240035840,78535774208,24158711808,76.5,1789853696,335574016
2023-12-13 09:11:18.296297,0.0,16698875904,14460674048,1931833344,13.4,68894720,1970458624,2147479552,2147479552,0,0.0,108240035840,78535806976,24158679040,76.5,1789853696,335721472
2023-12-13 09:12:18.356183,0.0,16698875904,14203469824,2189012992,14.9,68935680,1970479104,2147479552,2147479552,0,0.0,108240035840,78535827456,24158658560,76.5,1789853696,335913984
2023-12-13 09:13:18.360320,0.0,16698875904,14394605568,1997901824,13.8,68952064,1970614272,2147479552,2147479552,0,0.0,108240035840,78535847936,24158638080,76.5,1789853696,336036864
2023-12-13 09:14:18.422005,0.0,16698875904,14387523584,2004983808,13.8,68976640,1970647040,2147479552,2147479552,0,0.0,108240035840,78535880704,24158605312,76.5,1789853696,336167936
2023-12-13 09:15:18.456323,0.0,16698875904,14368018432,2024480768,14.0,68993024,1970671616,2147479552,2147479552,0,0.0,108240035840,78535901184,24158584832,76.5,1789853696,336270336
2023-12-13 09:16:18.518010,0.0,16698875904,14390349824,2002153472,13.8,69009408,1970679808,2147479552,2147479552,0,0.0,108240035840,78535909376,24158576640,76.5,1789853696,336393216
2023-12-13 09:17:18.576292,0.0,16698875904,14201040896,2191462400,15.0,69070848,1970724864,2147479552,2147479552,0,0.0,108240035840,78535950336,24158535680,76.5,1789857792,336729088
2023-12-13 09:18:18.638342,0.0,16698875904,14391889920,2000613376,13.8,69087232,1970745344,2147479552,2147479552,0,0.0,108240035840,78535970816,24158515200,76.5,1789857792,337040384
2023-12-13 09:19:18.696190,0.0,16698875904,14199820288,2192678912,15.0,69124096,1971019776,2147479552,2147479552,0,0.0,108240035840,78535991296,24158494720,76.5,1790124032,337159168
2023-12-13 09:20:18.757795,0.0,16698875904,14391603200,2000896000,13.8,69148672,1971068928,2147479552,2147479552,0,0.0,108240035840,78536040448,24158445568,76.5,1790124032,337503232
2023-12-13 09:21:18.819478,0.0,16698875904,14374236160,2018263040,13.9,69181440,1971105792,2147479552,2147479552,0,0.0,108240035840,78536073216,24158412800,76.5,1790124032,337712128
2023-12-13 09:22:18.881190,0.0,16698875904,14391951360,2000551936,13.8,69222400,1971122176,2147479552,2147479552,0,0.0,108240035840,78536093696,24158392320,76.5,1790124032,337904640
2023-12-13 09:23:18.940298,0.0,16698875904,14197329920,2195156992,15.0,69238784,1971142656,2147479552,2147479552,0,0.0,108240035840,78536114176,24158371840,76.5,1790124032,338035712
