currentTime,totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalPartition,usedPartition,freePartition,percentagePartition(%),total_IO_read,total_IO_write
2024-01-11 22:20:03.567947,0.0,16698425344,14391046144,2001530880,13.8,71159808,2077233152,2147479552,2147479552,0,0.0,108240035840,79905542144,22788943872,77.8,1912286208,211276800
2024-01-11 22:21:03.626355,0.0,16698425344,14230708224,2161868800,14.8,71225344,2077253632,2147479552,2147479552,0,0.0,108240035840,79905562624,22788923392,77.8,1912286208,211559424
2024-01-11 22:22:03.686458,0.0,16698425344,14225743872,2166841344,14.8,71299072,2077282304,2147479552,2147479552,0,0.0,108240035840,79905591296,22788894720,77.8,1912286208,211887104
2024-01-11 22:23:03.746376,0.0,16698425344,14224850944,2167717888,14.8,71364608,2077323264,2147479552,2147479552,0,0.0,108240035840,79905628160,22788857856,77.8,1912286208,212128768
2024-01-11 22:24:03.806395,0.0,16698425344,14224928768,2167652352,14.8,71430144,2077356032,2147479552,2147479552,0,0.0,108240035840,79905656832,22788829184,77.8,1912286208,212460544
2024-01-11 22:25:03.866385,0.0,16698425344,14160310272,2232254464,15.2,71487488,2077392896,2147479552,2147479552,0,0.0,108240035840,79905693696,22788792320,77.8,1912286208,212681728
2024-01-11 22:26:03.926362,0.0,16698425344,14233894912,2158694400,14.8,71553024,2077450240,2147479552,2147479552,0,0.0,108240035840,79905751040,22788734976,77.8,1912286208,213029888
2024-01-11 22:27:03.986390,0.0,16698425344,14238265344,2154307584,14.7,71643136,2077483008,2147479552,2147479552,0,0.0,108240035840,79905787904,22788698112,77.8,1912286208,213341184
2024-01-11 22:28:04.046385,0.0,16698425344,14234644480,2157940736,14.8,71700480,2077519872,2147479552,2147479552,0,0.0,108240035840,79905816576,22788669440,77.8,1912286208,213640192
2024-01-11 22:29:04.083733,0.0,16698425344,14242418688,2150141952,14.7,71766016,2077544448,2147479552,2147479552,0,0.0,108240035840,79905841152,22788644864,77.8,1912286208,213890048
2024-01-11 22:30:04.142464,0.0,16698425344,14233096192,2159468544,14.8,71839744,2077614080,2147479552,2147479552,0,0.0,108240035840,79905898496,22788587520,77.8,1912286208,214189056
