currentTime,totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalPartition,usedPartition,freePartition,percentagePartition(%),total_IO_read,total_IO_write
2023-12-16 18:38:12.180649,0.0,16698884096,15376130048,1021026304,7.9,61313024,1585909760,2147479552,2147479552,0,0.0,108240035840,78713315328,23981170688,76.6,1361299456,220144640
2023-12-16 18:39:12.242410,0.0,16698884096,14639099904,1752813568,12.3,70422528,2115092480,2147479552,2147479552,0,0.0,108240035840,78713352192,23981133824,76.6,1888679936,220918784
2023-12-16 18:40:12.303527,0.0,16698884096,14360391680,2031513600,14.0,70504448,2115117056,2147479552,2147479552,0,0.0,108240035840,78713376768,23981109248,76.6,1888679936,221832192
2023-12-16 18:41:12.347689,0.0,16698884096,14294847488,2097082368,14.4,70578176,2115551232,2147479552,2147479552,0,0.0,108240035840,78713417728,23981068288,76.6,1889069056,222069760
2023-12-16 18:42:12.407441,0.0,16698884096,14535704576,1856196608,13.0,70660096,2115579904,2147479552,2147479552,0,0.0,108240035840,78713446400,23981039616,76.6,1889069056,222376960
2023-12-16 18:43:12.467440,0.0,16698884096,14371368960,2020536320,13.9,70754304,2115612672,2147479552,2147479552,0,0.0,108240035840,78713483264,23981002752,76.6,1889069056,222811136
2023-12-16 18:44:12.527442,0.0,16698884096,14256926720,2134974464,14.6,70893568,2115649536,2147479552,2147479552,0,0.0,108240035840,78713520128,23980965888,76.6,1889069056,223400960
2023-12-16 18:45:12.587440,0.0,16698884096,14430728192,1961160704,13.6,70967296,2115690496,2147479552,2147479552,0,0.0,108240035840,78713548800,23980937216,76.6,1889069056,223728640
2023-12-16 18:46:12.647448,0.0,16698884096,14167990272,2223927296,15.2,71041024,2115743744,2147479552,2147479552,0,0.0,108240035840,78713602048,23980883968,76.6,1889069056,224048128
2023-12-16 18:47:12.707529,0.0,16698884096,14344929280,2046971904,14.1,71106560,2115768320,2147479552,2147479552,0,0.0,108240035840,78713626624,23980859392,76.6,1889069056,224261120
